Date,Day of the Week,Day of the Week ,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
01/12/2017,Friday,5,0,-5.2,37,2.2,2000,-17.6,0,0,0,1,0,1,254
01/12/2017,Friday,5,1,-5.5,38,0.8,2000,-17.6,0,0,0,1,0,1,204
01/12/2017,Friday,5,2,-6,39,1,2000,-17.7,0,0,0,1,0,1,173
01/12/2017,Friday,5,3,-6.2,40,0.9,2000,-17.6,0,0,0,1,0,1,107
01/12/2017,Friday,5,4,-6,36,2.3,2000,-18.6,0,0,0,1,0,1,78
01/12/2017,Friday,5,5,-6.4,37,1.5,2000,-18.7,0,0,0,1,0,1,100
01/12/2017,Friday,5,6,-6.6,35,1.3,2000,-19.5,0,0,0,1,0,1,181
01/12/2017,Friday,5,7,-7.4,38,0.9,2000,-19.3,0,0,0,1,0,1,460
01/12/2017,Friday,5,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,1,0,1,930
01/12/2017,Friday,5,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,1,0,1,490
01/12/2017,Friday,5,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,1,0,1,339
01/12/2017,Friday,5,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,1,0,1,360
01/12/2017,Friday,5,12,1.7,23,1.4,2000,-17.2,1.11,0,0,1,0,1,449
01/12/2017,Friday,5,13,2.4,25,1.6,2000,-15.6,1.16,0,0,1,0,1,451
01/12/2017,Friday,5,14,3,26,2,2000,-14.6,1.01,0,0,1,0,1,447
01/12/2017,Friday,5,15,2.1,36,3.2,2000,-11.4,0.54,0,0,1,0,1,463
01/12/2017,Friday,5,16,1.2,54,4.2,793,-7,0.24,0,0,1,0,1,484
01/12/2017,Friday,5,17,0.8,58,1.6,2000,-6.5,0.08,0,0,1,0,1,555
01/12/2017,Friday,5,18,0.6,66,1.4,2000,-5,0,0,0,1,0,1,862
01/12/2017,Friday,5,19,0,77,1.7,2000,-3.5,0,0,0,1,0,1,600
01/12/2017,Friday,5,20,-0.3,79,1.5,1913,-3.5,0,0,0,1,0,1,426
01/12/2017,Friday,5,21,-0.8,81,0.8,1687,-3.6,0,0,0,1,0,1,405
01/12/2017,Friday,5,22,-0.9,83,1.5,1380,-3.4,0,0,0,1,0,1,398
01/12/2017,Friday,5,23,-1.3,84,1,1265,-3.6,0,0,0,1,0,1,323
02/12/2017,Saturday,6,0,-1.8,87,1.1,994,-3.6,0,0,0,1,0,1,328
02/12/2017,Saturday,6,1,-2.2,86,0.6,990,-4.2,0,0,0,1,0,1,308
02/12/2017,Saturday,6,2,-2.9,86,1.5,1256,-4.9,0,0,0,1,0,1,262
02/12/2017,Saturday,6,3,-3.5,81,2.2,1221,-6.2,0,0,0,1,0,1,167
02/12/2017,Saturday,6,4,-3.8,79,2,1167,-6.9,0,0,0,1,0,1,89
02/12/2017,Saturday,6,5,-4,79,1.5,1202,-7.1,0,0,0,1,0,1,79
02/12/2017,Saturday,6,6,-4.3,82,2.1,1178,-6.9,0,0,0,1,0,1,70
02/12/2017,Saturday,6,7,-4.4,81,2.5,1276,-7.1,0,0,0,1,0,1,146
02/12/2017,Saturday,6,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,1,0,1,219
02/12/2017,Saturday,6,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,1,0,1,328
02/12/2017,Saturday,6,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,1,0,1,334
02/12/2017,Saturday,6,11,1.9,49,1.8,1406,-7.7,1,0,0,1,0,1,388
02/12/2017,Saturday,6,12,4.3,41,1.3,1666,-7.8,1.09,0,0,1,0,1,479
02/12/2017,Saturday,6,13,6,36,1.8,1780,-7.9,1.12,0,0,1,0,1,606
02/12/2017,Saturday,6,14,7.3,35,1.3,1955,-7.1,0.99,0,0,1,0,1,611
02/12/2017,Saturday,6,15,7.6,41,2.3,1953,-4.8,0.74,0,0,1,0,1,589
02/12/2017,Saturday,6,16,6.4,48,2.6,1945,-3.8,0.22,0,0,1,0,1,618
02/12/2017,Saturday,6,17,6,51,2.5,1891,-3.3,0.06,0,0,1,0,1,572
02/12/2017,Saturday,6,18,5.5,53,1.5,1697,-3.3,0,0,0,1,0,1,489
02/12/2017,Saturday,6,19,5,52,2.3,1666,-4,0,0,0,1,0,1,385
02/12/2017,Saturday,6,20,4.6,51,1.2,1585,-4.6,0,0,0,1,0,1,359
02/12/2017,Saturday,6,21,4.1,55,1.2,1448,-4.1,0,0,0,1,0,1,377
02/12/2017,Saturday,6,22,3.5,54,1.5,1446,-4.9,0,0,0,1,0,1,354
02/12/2017,Saturday,6,23,4,56,1,1352,-4,0,0,0,1,0,1,366
03/12/2017,Sunday,7,0,4,58,1.4,1296,-3.5,0,0,0,1,0,1,342
03/12/2017,Sunday,7,1,3.9,69,1.7,485,-1.2,0,0,0,1,0,1,227
03/12/2017,Sunday,7,2,3.3,79,1.4,830,0,0,0,0,1,0,1,228
03/12/2017,Sunday,7,3,3.4,71,1.6,1011,-1.3,0,0.5,0,1,0,1,117
03/12/2017,Sunday,7,4,3.5,73,1,1060,-0.8,0,0,0,1,0,1,76
03/12/2017,Sunday,7,5,3.9,75,1.9,914,-0.1,0,0,0,1,0,1,32
03/12/2017,Sunday,7,6,3.4,86,2.5,278,1.2,0,1,0,1,0,1,13
03/12/2017,Sunday,7,7,3.1,91,1.2,129,1.7,0,0,0,1,0,1,22
03/12/2017,Sunday,7,8,3.2,92,1.8,244,2,0,0,0,1,0,1,85
03/12/2017,Sunday,7,9,3.5,91,1.8,231,2.1,0.02,2.5,0,1,0,1,152
03/12/2017,Sunday,7,10,4.4,89,2.2,257,2.7,0.24,0,0,1,0,1,200
03/12/2017,Sunday,7,11,5.1,87,1.4,321,3.1,0.25,0,0,1,0,1,273
03/12/2017,Sunday,7,12,5.8,85,1.7,349,3.4,0.43,0,0,1,0,1,333
03/12/2017,Sunday,7,13,6.8,81,1.9,390,3.7,0.6,0,0,1,0,1,495
03/12/2017,Sunday,7,14,7.6,76,1.2,422,3.6,0.69,0,0,1,0,1,563
03/12/2017,Sunday,7,15,8,73,1.6,433,3.4,0.53,0,0,1,0,1,621
03/12/2017,Sunday,7,16,7.6,77,1.6,399,3.8,0.2,0,0,1,0,1,598
03/12/2017,Sunday,7,17,6.7,82,1.5,358,3.8,0.05,0,0,1,0,1,545
03/12/2017,Sunday,7,18,6,84,1.9,327,3.4,0,0,0,1,0,1,443
03/12/2017,Sunday,7,19,5.7,85,1.7,309,3.3,0,0,0,1,0,1,422
03/12/2017,Sunday,7,20,5.2,87,1.4,253,3.2,0,0,0,1,0,1,397
03/12/2017,Sunday,7,21,4.7,87,1.2,247,2.7,0,0,0,1,0,1,385
03/12/2017,Sunday,7,22,4.3,89,1.8,201,2.6,0,0,0,1,0,1,350
03/12/2017,Sunday,7,23,3.9,90,1.3,194,2.4,0,0,0,1,0,1,303
04/12/2017,Monday,1,0,4.2,88,0.6,216,2.3,0,0,0,1,0,1,285
04/12/2017,Monday,1,1,4.3,87,0.5,221,2.3,0,0,0,1,0,1,186
04/12/2017,Monday,1,2,4.4,87,1.8,207,2.4,0,0,0,1,0,1,112
04/12/2017,Monday,1,3,3.6,85,2.3,206,1.3,0,0,0,1,0,1,65
